port_code,port_name,district_code,district_name
0101,"PORTLAND, ME",01,"PORTLAND, ME"
0102,"BANGOR, ME",01,"PORTLAND, ME"
0103,"EASTPORT, ME",01,"PORTLAND, ME"
0104,"JACKMAN, ME",01,"PORTLAND, ME"
0105,"VANCEBORO, ME",01,"PORTLAND, ME"
0106,"HOULTON, ME",01,"PORTLAND, ME"
0107,"FORT FAIRFIELD, ME",01,"PORTLAND, ME"
0108,"VAN BUREN, ME",01,"PORTLAND, ME"
0109,"MADAWASKA, ME",01,"PORTLAND, ME"
0110,"FORT KENT, ME",01,"PORTLAND, ME"
0111,"BATH, ME",01,"PORTLAND, ME"
0112,"BAR HARBOR, ME",01,"PORTLAND, ME"
0115,"CALAIS, ME",01,"PORTLAND, ME"
0118,"LIMESTONE, ME",01,"PORTLAND, ME"
0121,"ROCKLAND, ME",01,"PORTLAND, ME"
0122,"JONESPORT, ME",01,"PORTLAND, ME"
0127,"BRIDGEWATER, ME",01,"PORTLAND, ME"
0131,"PORTSMOUTH, NH",01,"PORTLAND, ME"
0152,"SEARSPORT, ME",01,"PORTLAND, ME"
0182,"MANCHESTER USER FEE AIRPORT, NH",01,"PORTLAND, ME"
0201,"ST. ALBANS, VT",02,"ST. ALBANS, VT"
0203,"RICHFORD, VT",02,"ST. ALBANS, VT"
0206,"BEECHER FALLS, VT",02,"ST. ALBANS, VT"
0207,"BURLINGTON, VT",02,"ST. ALBANS, VT"
0209,"DERBY LINE, VT",02,"ST. ALBANS, VT"
0211,"NORTON, VT",02,"ST. ALBANS, VT"
0212,"HIGHGATE SPRINGS/ALBURG, VT",02,"ST. ALBANS, VT"
0401,"BOSTON, MA",04,"BOSTON, MA"
0402,"SPRINGFIELD, MA",04,"BOSTON, MA"
0403,"WORCESTER, MA",04,"BOSTON, MA"
0404,"GLOUCESTER, MA",04,"BOSTON, MA"
0405,"NEW BEDFORD, MA",04,"BOSTON, MA"
0406,"PLYMOUTH, MA",04,"BOSTON, MA"
0407,"FALL RIVER, MA",04,"BOSTON, MA"
0408,"SALEM, MA",04,"BOSTON, MA"
0410,"BRIDGEPORT,CT",04,"BOSTON, MA"
0411,HARTFORD. CT,04,"BOSTON, MA"
0412,"NEW HAVEN,CT",04,"BOSTON, MA"
0413,"NEW LONDON, CT",04,"BOSTON, MA"
0416,"LAWRENCE, MA",04,"BOSTON, MA"
0417,"LOGAN AIRPORT, MA",04,"BOSTON, MA"
0481,"L.G. HANSCOM FIELD, MA",04,"BOSTON, MA"
0501,"NEWPORT, RI",05,"PROVIDENCE, RI"
0502,"PROVIDENCE, RI",05,"PROVIDENCE, RI"
0503,"MELLVILLE, RI",05,"PROVIDENCE, RI"
0701,"OGDENSBURG, NY",07,"OGDENSBURG, NY"
0704,"MASSENA, NY",07,"OGDENSBURG, NY"
0706,"CAPE VINCENT, NY",07,"OGDENSBURG, NY"
0708,"ALEXANDRIA BAY, NY",07,"OGDENSBURG, NY"
0712,"CHAMPLAIN-ROUSES POINT, NY",07,"OGDENSBURG, NY"
0714,"CLAYTON, NY",07,"OGDENSBURG, NY"
0715,"TROUT RIVER, NY",07,"OGDENSBURG, NY"
0901,"BUFFALO-NIAGARA FALLS, NY",09,"BUFFALO, NY"
0903,"ROCHESTER, NY",09,"BUFFALO, NY"
0904,"OSWEGO, NY",09,"BUFFALO, NY"
0905,"SODUS POINT, NY",09,"BUFFALO, NY"
0906,"SYRACUSE, NY",09,"BUFFALO, NY"
0981,"BINGHAMTON REGIONAL AIRPORT, NY",09,"BUFFALO, NY"
0983,"ITHACA TOMPKINS INTL AIR, ITHACA, NY",09,"BUFFALO, NY"
1001,"NEW YORK, NY",10,"NEW YORK CITY, NY"
1002,"ALBANY, NY",10,"NEW YORK CITY, NY"
1003,"NEWARK, NJ",10,"NEW YORK CITY, NY"
1004,"PERTH AMBOY, NJ",10,"NEW YORK CITY, NY"
1012,"JFK INTERNATIONAL AIRPORT, NY",10,"NEW YORK CITY, NY"
1068,"NEWARK FEDEX ECCF, NJ",10,"NEW YORK CITY, NY"
1069,"UPS, NEWARK, NJ",10,"NEW YORK CITY, NY"
1071,"NYACC, JAMAICA, NY",10,"NEW YORK CITY, NY"
1072,"DHL, JAMAICA, NY",10,"NEW YORK CITY, NY"
1073,EMERY WORLDWIDE,10,"NEW YORK CITY, NY"
1074,"AIR FRANCE (MACH PLUS), JAMAICA, NY",10,"NEW YORK CITY, NY"
1078,"TNT SKYPAK, JAMAICA, NY",10,"NEW YORK CITY, NY"
1081,"MORRISTOWN AIRPORT, NJ",10,"NEW YORK CITY, NY"
1101,"PHILADELPHIA, PA",11,"PHILADELPHIA, PA"
1102,"CHESTER, PA",11,"PHILADELPHIA, PA"
1103,"WILMINGTON, DE",11,"PHILADELPHIA, PA"
1104,"PITTSBURGH, PA",11,"PHILADELPHIA, PA"
1105,"MARCUS HOOK, PA",11,"PHILADELPHIA, PA"
1106,"WILKES-BARRE/SCRANTON, PA",11,"PHILADELPHIA, PA"
1107,"CAMDEN, NJ",11,"PHILADELPHIA, PA"
1108,"PHILA. INTL. AIRPORT, PA",11,"PHILADELPHIA, PA"
1109,"HARRISBURG, PA",11,"PHILADELPHIA, PA"
1113,"GLOUCESTER CITY, NJ",11,"PHILADELPHIA, PA"
1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)",11,"PHILADELPHIA, PA"
1182,"ATLANTIC CITY REGIONAL AIRPORT, NJ",11,"PHILADELPHIA, PA"
1183,"TRENTON/MERCER COUNTY AIRPORT, NJ",11,"PHILADELPHIA, PA"
1195,"UPS, PHILADELPHIA, PA",11,"PHILADELPHIA, PA"
1297,"RICHMOND, VA",12,UNKNOWN
1301,"ANNAPOLIS, MD",13,"BALTIMORE, MD"
1302,"CAMBRIDGE, MD",13,"BALTIMORE, MD"
1303,"BALTIMORE, MD",13,"BALTIMORE, MD"
1304,"CRISFIELD, MD",13,"BALTIMORE, MD"
1305,"BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD",13,"BALTIMORE, MD"
1401,"NORFOLK-NEWPORT NEWS, VA",14,"NORFOLK, VA"
1404,"RICHMOND-PETERSBURG, VA",14,"NORFOLK, VA"
1409,"CHARLESTON, WV",14,"NORFOLK, VA"
1410,"FRONT ROYAL, VA",14,"NORFOLK, VA"
1412,"NEW RIVER VALLEY AIRPORT, VA",14,"NORFOLK, VA"
1501,"WILMINGTON, NC",15,"WILMINGTON, NC"
1502,"WINSTON-SALEM, NC",15,"WILMINGTON, NC"
1503,"DURHAM, NC",15,"WILMINGTON, NC"
1511,"BEAUFORT-MOREHEAD CITY,NC",15,"WILMINGTON, NC"
1512,"CHARLOTTE, NC",15,"WILMINGTON, NC"
1601,"CHARLESTON, SC",16,"CHARLESTON, SC"
1602,"GEORGETOWN, SC",16,"CHARLESTON, SC"
1603,"GREENVILLE-SPARTANBRG, SC",16,"CHARLESTON, SC"
1604,"COLUMBIA, SC",16,"CHARLESTON, SC"
1681,"MYRTLE BEACH INTL AIRPORT, SC",16,"CHARLESTON, SC"
1701,"BRUNSWICK, GA",17,"SAVANNAH, GA"
1703,"SAVANNAH, GA",17,"SAVANNAH, GA"
1704,"ATLANTA, GA",17,"SAVANNAH, GA"
1791,"ATLANTA HARTSFIELD AIRPORT, GA",17,"SAVANNAH, GA"
1801,"TAMPA, FL",18,"TAMPA, FL"
1803,"JACKSONVILLE, FL",18,"TAMPA, FL"
1805,"FERNANDINA BEACH, FL",18,"TAMPA, FL"
1807,"BOCA GRANDE, FL",18,"TAMPA, FL"
1808,"ORLANDO, FL",18,"TAMPA, FL"
1809,"ORLANDO-SANFORD AIRPORT, FL",18,"TAMPA, FL"
1814,"ST. PETERSBURG, FL",18,"TAMPA, FL"
1816,"PORT CANAVERAL, FL",18,"TAMPA, FL"
1818,"PANAMA CITY, FL",18,"TAMPA, FL"
1819,"PENSACOLA, FL",18,"TAMPA, FL"
1821,"PORT MANATEE, FL",18,"TAMPA, FL"
1822,"FORT MYERS AIRPORT, FL",18,"TAMPA, FL"
1880,"NAPLES MUNICIPAL USER FEE AIRP, FL",18,"TAMPA, FL"
1883,"SARASOTA BRADENTON ARPT, FL",18,"TAMPA, FL"
1884,"DAYTONA BEACH INT'L ARPT, FL",18,"TAMPA, FL"
1885,"MELBOURNE REGIONAL AIRPORT, FL",18,"TAMPA, FL"
1887,"LEESBURG REGIONAL AIRP, LEESBURG, FL",18,"TAMPA, FL"
1888,"ORLANDO EXECUTIVE AIRPORT, FL",18,"TAMPA, FL"
1889,"ST. AUGUSTINE AIRPORT, FL",18,"TAMPA, FL"
1901,"MOBILE, AL",19,"MOBILE, AL"
1902,"GULFPORT, MS",19,"MOBILE, AL"
1903,"PASCAGOULA, MS",19,"MOBILE, AL"
1904,"BIRMINGHAM, AL",19,"MOBILE, AL"
1910,"HUNTSVILLE, AL",19,"MOBILE, AL"
2001,"MORGAN CITY, LA",20,"NEW ORLEANS, LA"
2002,"NEW ORLEANS, LA",20,"NEW ORLEANS, LA"
2003,"LITTLE ROCK, AR",20,"NEW ORLEANS, LA"
2004,"BATON ROUGE, LA",20,"NEW ORLEANS, LA"
2006,"MEMPHIS, TN",20,"NEW ORLEANS, LA"
2007,"NASHVILLE, TN",20,"NEW ORLEANS, LA"
2008,"CHATTANOOGA, TN",20,"NEW ORLEANS, LA"
2010,"GRAMERCY, LA",20,"NEW ORLEANS, LA"
2011,"GREENVILLE, MS",20,"NEW ORLEANS, LA"
2015,"VICKSBURG, MS",20,"NEW ORLEANS, LA"
2016,"KNOXVILLE, TN",20,"NEW ORLEANS, LA"
2017,"LAKE CHARLES, LA",20,"NEW ORLEANS, LA"
2018,"SHREVEPORT/BOSSIER CITY, LA",20,"NEW ORLEANS, LA"
2027,"TRI-CITIES AIRPORT, TN",20,"NEW ORLEANS, LA"
2095,"FEDEX, MEMPHIS, TN",20,"NEW ORLEANS, LA"
2101,"PORT ARTHUR, TX",21,"PORT ARTHUR, TX"
2102,"SABINE, TX",21,"PORT ARTHUR, TX"
2103,"ORANGE, TX",21,"PORT ARTHUR, TX"
2104,"BEAUMONT, TX",21,"PORT ARTHUR, TX"
2301,"BROWNSVILLE, TX",23,"LAREDO, TX"
2302,"DEL RIO, TX",23,"LAREDO, TX"
2303,"EAGLE PASS, TX",23,"LAREDO, TX"
2304,"LAREDO, TX",23,"LAREDO, TX"
2305,"HIDALGO, PHARR, TX",23,"LAREDO, TX"
2307,"RIO GRANDE CITY, TX",23,"LAREDO, TX"
2309,"PROGRESO, TX",23,"LAREDO, TX"
2310,"ROMA, TX",23,"LAREDO, TX"
2383,"VALLEY INTL AIRPORT, HARLINGEN, TX",23,"LAREDO, TX"
2401,"YSLETA, TX",24,"EL PASO, TX"
2402,"EL PASO, TX",24,"EL PASO, TX"
2403,"PRESIDIO, TX",24,"EL PASO, TX"
2404,"FABENS, TX",24,"EL PASO, TX"
2406,"COLUMBUS, NM",24,"EL PASO, TX"
2407,"ALBUQUERQUE, NM",24,"EL PASO, TX"
2408,"SANTA TERESA, NM",24,"EL PASO, TX"
2481,"SANTA TERESA AIRPORT, NM",24,"EL PASO, TX"
2501,"SAN DIEGO, CA",25,"SAN DIEGO, CA"
2502,"ANDRADE, CA",25,"SAN DIEGO, CA"
2503,"CALEXICO, CA",25,"SAN DIEGO, CA"
2504,SAN YSIDRO,25,"SAN DIEGO, CA"
2505,"TECATE, CA",25,"SAN DIEGO, CA"
2506,OTAY MESA,25,"SAN DIEGO, CA"
2507,CALEXICO-EAST,25,"SAN DIEGO, CA"
2601,"DOUGLAS, AZ",26,"NOGALES, AZ"
2602,"LUKEVILLE, AZ",26,"NOGALES, AZ"
2603,"NACO, AZ",26,"NOGALES, AZ"
2604,"NOGALES, AZ",26,"NOGALES, AZ"
2605,"PHOENIX, AZ",26,"NOGALES, AZ"
2606,"SASABE, AZ",26,"NOGALES, AZ"
2608,"SAN LUIS, AZ",26,"NOGALES, AZ"
2609,"TUCSON, AZ",26,"NOGALES, AZ"
2704,"LOS ANGELES, CA",27,"LOS ANGELES, CA"
2707,"PORT 2707, CA",27,"LOS ANGELES, CA"
2709,"LONG BEACH, CA",27,"LOS ANGELES, CA"
2712,"VENTURA, CA",27,"LOS ANGELES, CA"
2713,"PORT HUENEME, CA",27,"LOS ANGELES, CA"
2715,"CAPITAN, CA",27,"LOS ANGELES, CA"
2719,"MORRO BAY, CA",27,"LOS ANGELES, CA"
2720,"LOS ANGELES INTERNATIONAL AIRPORT, CA",27,"LOS ANGELES, CA"
2721,"ONTARIO INTL AIRPORT, CA",27,"LOS ANGELES, CA"
2722,"LAS VEGAS, NV",27,"LOS ANGELES, CA"
2775,"TNT EXPRESS, LAX, CA",27,"LOS ANGELES, CA"
2776,IBC PACIFIC,27,"LOS ANGELES, CA"
2786,"MEADOWS FIELD AIRPORT, CA",27,"LOS ANGELES, CA"
2791,"DHL-HUB, LOS ANGELES, CA",27,"LOS ANGELES, CA"
2795,"UPS-ONTARIO, CA",27,"LOS ANGELES, CA"
2801,"SAN FRANCISCO INTL ARPT, CA",28,"SAN FRANCISCO, CA"
2802,"EUREKA, CA",28,"SAN FRANCISCO, CA"
2803,"FRESNO, CA",28,"SAN FRANCISCO, CA"
2805,"MONTEREY, CA",28,"SAN FRANCISCO, CA"
2809,"SAN FRANCISCO, CA",28,"SAN FRANCISCO, CA"
2810,"STOCKTON, CA",28,"SAN FRANCISCO, CA"
2811,"OAKLAND, CA",28,"SAN FRANCISCO, CA"
2812,"RICHMOND,CA",28,"SAN FRANCISCO, CA"
2815,"CROCKETT,CA",28,"SAN FRANCISCO, CA"
2820,"MARTINEZ,CA",28,"SAN FRANCISCO, CA"
2821,"REDWOOD CITY,CA",28,"SAN FRANCISCO, CA"
2827,"SELBY,CA",28,"SAN FRANCISCO, CA"
2828,"SAN JUAQUIN RIVER,CA",28,"SAN FRANCISCO, CA"
2829,"SAN PABLO BAY,CA",28,"SAN FRANCISCO, CA"
2830,"CARQUINEZ STRAIT,CA",28,"SAN FRANCISCO, CA"
2833,"RENO, NV",28,"SAN FRANCISCO, CA"
2834,"SAN JOSE INTL AIRPORT, CA",28,"SAN FRANCISCO, CA"
2835,"SACRAMENTO INT'L AIRPORT, CA",28,"SAN FRANCISCO, CA"
2871,AIRCARGO HANDLING SERVIC,28,"SAN FRANCISCO, CA"
