Grain,Class,Grade,records,avg_tw,min_tw,max_tw,median_tw,avg_sf,median_sf,avg_sf_untrimmed,median_sf_untrimmed
BARLEY,BAR,2 O/B,1457,50.02,45.33,58.48,49.75,55.74,56.04,59.08,59.4
BARLEY,BAR,3 O/B,116,49.8,45.04,57.06,49.5,55.98,56.33,59.34,59.71
BARLEY,BAR,4 O/B,33,53.91,51.7,56.27,53.25,51.72,52.36,54.82,55.5
BARLEY,BAR,1,17,53.8,49.4,56.59,54.23,51.82,51.41,54.93,54.5
BARLEY,BAR,2,6,52.17,48.05,55.69,52.07,53.44,53.55,56.65,56.76
BARLEY,BAR,4,2,52.01,51.09,52.93,52.01,53.61,53.61,56.82,56.82
BARLEY,BAR,5,1,42.93,42.93,42.93,42.93,64.94,64.94,68.84,68.84
BARLEY,BAR,5 O/B,1,50.71,50.71,50.71,50.71,54.98,54.98,58.28,58.28
BARLEY,BAR,3,1,49.0,49.0,49.0,49.0,56.9,56.9,60.31,60.31
BARLEY,BAR,SG O/B,1,54.96,54.96,54.96,54.96,50.73,50.73,53.77,53.77
CANOLA,K,SG O/B,14,49.69,48.91,50.67,49.61,56.11,56.21,59.48,59.58
CANOLA,K,1,1,51.16,51.16,51.16,51.16,54.5,54.5,57.77,57.77
CANOLA,K,SG,1,49.56,49.56,49.56,49.56,56.26,56.26,59.63,59.63
CANOLA,,1,1,50.3,50.3,50.3,50.3,55.43,55.43,58.75,58.75
CORN,WHC,2 O/B,1504,59.59,55.7,63.03,59.66,46.78,46.74,49.59,49.54
CORN,WHC,1,812,59.72,56.1,62.55,59.72,46.69,46.69,49.49,49.49
CORN,WHC,2,264,59.4,55.0,62.25,59.5,46.93,46.86,49.75,49.67
CORN,WHC,3 O/B,60,59.93,56.61,62.2,60.13,46.52,46.37,49.31,49.15
CORN,WHC,3,51,58.93,52.8,61.0,59.34,47.31,46.98,50.15,49.8
CORN,WHC,4,12,58.79,54.0,61.5,58.5,47.42,47.66,50.27,50.52
CORN,WHC,SG,8,58.82,56.3,60.02,59.44,47.4,46.91,50.24,49.72
CORN,WHC,5,4,55.4,47.7,58.8,57.55,50.33,48.45,53.35,51.35
CORN,WHC,5 O/B,2,56.6,55.4,57.8,56.6,49.26,49.26,52.21,52.21
CORN,WHC,NG,2,59.71,59.29,60.13,59.71,46.69,46.69,49.5,49.5
CORN,WHC,SGO/B,1,59.12,59.12,59.12,59.12,47.16,47.16,49.99,49.99
CORN,WHC,SG O/B,1,59.4,59.4,59.4,59.4,46.94,46.94,49.75,49.75
CORN,WHC,,1,57.6,57.6,57.6,57.6,48.4,48.4,51.31,51.31
CORN,XC,2,2,58.8,57.8,59.8,58.8,47.42,47.42,50.26,50.26
CORN,XC,2 O/B,2,59.65,59.0,60.3,59.65,46.74,46.74,49.55,49.55
CORN,XC,5,1,57.1,57.1,57.1,57.1,48.83,48.83,51.76,51.76
CORN,YC,2 O/B,33246,57.22,53.98,69.53,57.3,48.73,48.66,51.65,51.58
CORN,YC,3 O/B,21115,56.8,52.0,69.45,56.98,49.09,48.93,52.04,51.87
CORN,YC,2,3531,57.7,53.96,61.39,57.86,48.32,48.19,51.22,51.08
CORN,YC,1,2793,58.32,55.95,63.5,58.3,47.81,47.82,50.67,50.69
CORN,YC,3,1864,57.49,52.0,60.85,57.68,48.49,48.34,51.4,51.24
CORN,YC,4 O/B,189,56.55,49.5,59.67,56.96,49.3,48.95,52.26,51.88
CORN,YC,SG,107,57.15,45.54,79.69,57.66,48.79,48.35,51.72,51.26
CORN,YC,4,92,55.54,49.5,60.4,56.3,50.2,49.52,53.21,52.49
CORN,YC,5 O/B,45,56.57,53.05,58.93,56.73,49.29,49.15,52.24,52.1
CORN,YC,SGO/B,31,56.53,51.28,59.36,56.92,49.32,48.98,52.28,51.92
CORN,YC,5,30,56.66,48.35,58.8,57.27,49.2,48.69,52.16,51.61
CORN,YC,SG O/B,14,55.15,50.83,58.96,55.02,50.55,50.68,53.59,53.72
CORN,YC,,11,56.05,54.44,57.32,56.5,49.75,49.35,52.73,52.31
CORN,YC,NG,4,58.17,57.85,58.61,58.11,47.93,47.98,50.81,50.86
FLAXSEED,FLAX,1,2,50.07,50.05,50.09,50.07,55.68,55.68,59.02,59.02
FLAXSEED,,1,54,50.16,49.04,51.3,50.15,55.59,55.6,58.92,58.94
FLAXSEED,,SGO/B,3,49.73,49.52,50.04,49.62,56.07,56.19,59.43,59.56
MIXED,,XGR,18,60.14,59.25,61.53,60.14,46.36,46.36,49.15,49.14
OATS,,2 O/B,2,42.31,39.82,44.8,42.31,65.9,65.9,69.85,69.85
OATS,,1,1,43.1,43.1,43.1,43.1,64.69,64.69,68.57,68.57
OATS,,3 O/B,1,43.63,43.63,43.63,43.63,63.9,63.9,67.74,67.74
RYE,,2 O/B,13,58.48,57.46,59.06,58.71,47.67,47.49,50.53,50.34
RYE,,1,1,58.17,58.17,58.17,58.17,47.93,47.93,50.81,50.81
SORGHUM,S,2 O/B,6149,58.32,55.0,61.9,58.35,47.81,47.78,50.68,50.65
SORGHUM,S,3 O/B,48,57.5,54.99,59.2,57.68,48.49,48.34,51.4,51.24
SORGHUM,S,2,22,58.13,56.5,60.42,58.27,47.96,47.85,50.84,50.72
SORGHUM,S,1,10,58.89,57.76,59.96,59.08,47.34,47.2,50.18,50.03
SORGHUM,S,,4,58.38,57.78,59.08,58.33,47.76,47.8,50.63,50.67
SORGHUM,S,4 O/B,4,56.06,55.46,56.86,55.96,49.73,49.82,52.72,52.81
SORGHUM,S,3,2,58.89,58.68,59.09,58.89,47.35,47.35,50.19,50.19
SORGHUM,S,SG O/B,1,59.12,59.12,59.12,59.12,47.16,47.16,49.99,49.99
SORGHUM,S,4,1,55.04,55.04,55.04,55.04,50.66,50.66,53.69,53.69
SORGHUM,WHS,2 O/B,2,59.21,58.8,59.61,59.21,47.09,47.09,49.92,49.92
SORGHUM,WHS,1,1,58.5,58.5,58.5,58.5,47.66,47.66,50.52,50.52
SORGHUM,YS,2 O/B,2506,57.99,55.0,60.3,58.09,48.08,48.0,50.96,50.88
SORGHUM,YS,3 O/B,6,58.02,57.38,58.46,58.18,48.06,47.92,50.94,50.8
SORGHUM,YS,1,4,58.77,57.69,59.8,58.79,47.44,47.43,50.29,50.27
SORGHUM,YS,2,1,57.53,57.53,57.53,57.53,48.46,48.46,51.37,51.37
SORGHUM,YS,3,1,57.53,57.53,57.53,57.53,48.46,48.46,51.37,51.37
SOYBEANS,YSB,2 O/B,34359,55.94,5.11,59.91,55.99,49.84,49.8,52.83,52.78
SOYBEANS,YSB,1,1795,56.47,52.9,59.77,56.47,49.37,49.37,52.33,52.34
SOYBEANS,YSB,3 O/B,729,55.51,52.24,58.12,55.57,50.22,50.17,53.24,53.18
SOYBEANS,YSB,2,600,55.58,52.7,58.17,55.59,50.16,50.16,53.17,53.17
SOYBEANS,YSB,SG,186,54.18,21.0,57.4,54.7,51.46,50.97,54.54,54.03
SOYBEANS,YSB,SG O/B,165,54.77,52.6,57.31,54.7,50.91,50.97,53.96,54.03
SOYBEANS,YSB,4 O/B,70,54.8,52.05,61.9,54.84,50.87,50.84,53.93,53.89
SOYBEANS,YSB,3,52,55.22,53.6,57.9,55.05,50.49,50.65,53.52,53.69
SOYBEANS,YSB,SGO/B,25,50.6,43.3,57.11,50.53,55.1,55.18,58.41,58.49
SOYBEANS,YSB,4,24,54.99,52.6,56.9,55.1,50.7,50.6,53.74,53.64
SOYBEANS,YSB,,7,56.52,56.19,57.01,56.49,49.33,49.36,52.29,52.32
SOYBEANS,YSB,NG,1,55.4,55.4,55.4,55.4,50.33,50.33,53.35,53.35
SOYBEANS,,2 O/B,1,55.65,55.65,55.65,55.65,50.1,50.1,53.11,53.11
SUNFLOWER,,1,96,28.77,25.16,31.38,29.48,96.92,94.58,102.73,100.25
SUNFLOWER,,2 O/B,34,28.55,25.02,30.82,29.01,97.64,96.11,103.5,101.87
SUNFLOWER,,SG,4,24.47,24.02,24.8,24.54,113.93,113.64,120.76,120.46
SUNFLOWER,,SGO/B,2,24.41,24.27,24.55,24.41,114.22,114.22,121.07,121.07
WHEAT,DUWH,2 O/B,1607,60.88,58.26,66.25,60.83,45.8,45.83,48.54,48.58
WHEAT,DUWH,3 O/B,933,59.96,56.24,64.19,60.0,46.5,46.47,49.29,49.26
WHEAT,DUWH,1,915,62.22,60.0,64.5,62.26,44.81,44.78,47.5,47.47
WHEAT,DUWH,SG O/B,42,59.31,56.5,62.93,59.41,47.01,46.93,49.83,49.75
WHEAT,DUWH,5 O/B,40,58.58,57.67,60.0,58.49,47.6,47.67,50.45,50.53
WHEAT,DUWH,4 O/B,39,59.97,58.55,64.03,59.49,46.49,46.87,49.28,49.68
WHEAT,DUWH,SG,22,60.01,58.1,63.3,59.82,46.46,46.61,49.25,49.4
WHEAT,DUWH,2,22,61.05,59.2,63.4,60.79,45.67,45.86,48.41,48.62
WHEAT,DUWH,3,14,60.21,58.7,62.5,60.24,46.3,46.29,49.08,49.06
WHEAT,DUWH,4,4,59.5,57.29,60.6,60.05,46.86,46.43,49.67,49.22
WHEAT,DUWH,,1,61.92,61.92,61.92,61.92,45.03,45.03,47.73,47.73
WHEAT,HDWH,2 O/B,105,61.13,58.29,63.3,61.3,45.61,45.48,48.34,48.21
WHEAT,HDWH,4 O/B,66,62.39,60.0,63.49,62.53,44.69,44.59,47.37,47.26
WHEAT,HDWH,1,21,62.16,60.45,63.12,62.3,44.85,44.75,47.54,47.44
WHEAT,HDWH,3 O/B,9,62.33,59.96,63.49,62.51,44.73,44.6,47.41,47.28
WHEAT,HDWH,4,1,61.57,61.57,61.57,61.57,45.28,45.28,48.0,48.0
WHEAT,HDWH,2,1,61.5,61.5,61.5,61.5,45.33,45.33,48.05,48.05
WHEAT,HDWH,SG O/B,1,62.03,62.03,62.03,62.03,44.95,44.95,47.64,47.64
WHEAT,HRS,2 O/B,17182,61.1,57.0,79.0,61.2,45.63,45.56,48.37,48.29
WHEAT,HRS,1,3696,61.52,58.83,64.7,61.56,45.32,45.29,48.04,48.01
WHEAT,HRS,2,92,61.16,57.9,63.61,61.19,45.59,45.56,48.32,48.3
WHEAT,HRS,3 O/B,56,59.61,56.52,62.9,59.51,46.77,46.85,49.58,49.66
WHEAT,HRS,SG O/B,18,60.84,58.89,62.67,60.61,45.82,46.0,48.57,48.76
WHEAT,HRS,3,10,59.37,58.24,60.67,59.55,46.96,46.82,49.78,49.63
WHEAT,HRS,SG,9,55.95,52.97,62.8,54.34,49.83,51.31,52.82,54.39
WHEAT,HRS,,5,62.08,60.48,63.36,62.26,44.91,44.78,47.61,47.47
WHEAT,HRS,4 O/B,4,61.12,59.79,62.3,61.2,45.62,45.56,48.35,48.29
WHEAT,HRS,SGO/B,3,56.13,54.61,58.83,54.94,49.67,50.75,52.66,53.79
WHEAT,HRS,4,3,59.23,57.0,63.1,57.6,47.07,48.4,49.89,51.31
WHEAT,HRW,2 O/B,20091,60.97,57.69,77.58,60.9,45.73,45.78,48.47,48.53
WHEAT,HRW,1,2623,61.96,60.0,65.42,61.94,45.0,45.01,47.7,47.71
WHEAT,HRW,2,138,60.45,58.0,63.43,60.3,46.12,46.24,48.89,49.01
WHEAT,HRW,3 O/B,25,59.76,57.68,62.25,59.49,46.65,46.87,49.45,49.68
WHEAT,HRW,3,19,59.79,57.5,63.45,60.0,46.63,46.47,49.43,49.26
WHEAT,HRW,SG O/B,12,61.33,59.52,62.68,61.42,45.46,45.4,48.19,48.12
WHEAT,HRW,SG,10,59.55,56.35,61.8,59.81,46.82,46.62,49.63,49.42
WHEAT,HRW,,4,60.99,59.88,61.82,61.13,45.72,45.61,48.46,48.35
WHEAT,HRW,4,2,60.75,59.5,62.0,60.75,45.89,45.89,48.65,48.65
WHEAT,HRW,5,1,59.55,59.55,59.55,59.55,46.82,46.82,49.63,49.63
WHEAT,HRW,4 O/B,1,61.03,61.03,61.03,61.03,45.68,45.68,48.42,48.42
WHEAT,HRW,SGO/B,1,58.63,58.63,58.63,58.63,47.55,47.55,50.41,50.41
WHEAT,SRW,2 O/B,9889,59.29,57.1,77.34,59.2,47.03,47.1,49.85,49.92
WHEAT,SRW,3 O/B,315,58.04,56.0,62.15,57.78,48.04,48.25,50.92,51.15
WHEAT,SRW,2,200,58.93,58.0,61.3,58.9,47.31,47.34,50.15,50.18
WHEAT,SRW,4 O/B,41,57.64,54.4,59.5,57.7,48.37,48.32,51.28,51.22
WHEAT,SRW,SG,38,58.45,55.59,60.21,58.58,47.7,47.59,50.56,50.45
WHEAT,SRW,3,35,57.51,56.1,60.6,57.5,48.48,48.49,51.39,51.4
WHEAT,SRW,1,33,60.4,60.0,61.8,60.2,46.16,46.31,48.93,49.09
WHEAT,SRW,SG O/B,29,58.24,56.2,60.18,58.44,47.87,47.71,50.74,50.57
WHEAT,SRW,5 O/B,8,57.13,53.07,59.03,57.34,48.8,48.62,51.73,51.54
WHEAT,SRW,4,6,56.01,55.56,56.7,55.81,49.78,49.96,52.76,52.95
WHEAT,SRW,SGO/B,3,56.82,55.45,58.06,56.94,49.07,48.97,52.02,51.9
WHEAT,SRW,5,2,57.43,56.41,58.44,57.43,48.55,48.55,51.46,51.46
WHEAT,SRW,,1,60.43,60.43,60.43,60.43,46.14,46.14,48.91,48.91
WHEAT,SWW,2 O/B,7651,61.6,58.08,83.78,61.56,45.26,45.29,47.98,48.01
WHEAT,SWW,1,3984,61.63,59.95,65.0,61.57,45.24,45.28,47.95,48.0
WHEAT,SWW,2,47,61.83,58.69,62.94,62.02,45.09,44.95,47.8,47.65
WHEAT,SWW,SG O/B,27,62.14,58.79,64.85,62.05,44.87,44.93,47.56,47.63
WHEAT,SWW,4 O/B,20,61.6,60.68,62.17,61.62,45.26,45.25,47.98,47.96
WHEAT,SWW,5 O/B,7,60.23,57.36,63.02,61.27,46.29,45.5,49.07,48.24
WHEAT,SWW,3 O/B,6,61.26,59.3,62.69,61.41,45.51,45.4,48.24,48.13
WHEAT,SWW,5,1,56.34,56.34,56.34,56.34,49.49,49.49,52.46,52.46
WHEAT,SWW,4,1,58.05,58.05,58.05,58.05,48.03,48.03,50.91,50.91
WHEAT,SWW,,1,61.5,61.5,61.5,61.5,45.33,45.33,48.05,48.05
WHEAT,SWW,3,1,61.93,61.93,61.93,61.93,45.02,45.02,47.72,47.72
WHEAT,WW,2 O/B,1607,61.22,58.11,69.6,61.34,45.54,45.45,48.28,48.18
WHEAT,WW,1,168,61.22,60.0,62.7,61.22,45.54,45.55,48.28,48.28
WHEAT,WW,2,39,60.07,58.97,62.9,59.75,46.41,46.66,49.2,49.46
WHEAT,XWHT,2 O/B,64,60.31,58.36,62.7,60.17,46.23,46.34,49.0,49.12
WHEAT,XWHT,SG O/B,56,61.03,56.98,63.72,61.32,45.68,45.47,48.42,48.2
WHEAT,XWHT,5 O/B,35,61.85,57.73,63.91,61.87,45.08,45.06,47.78,47.77
WHEAT,XWHT,SG,13,58.33,54.41,61.97,58.6,47.8,47.58,50.66,50.43
WHEAT,XWHT,4 O/B,10,61.2,57.57,63.04,62.13,45.56,44.88,48.29,47.57
WHEAT,XWHT,SGO/B,4,57.93,57.64,58.38,57.86,48.13,48.19,51.01,51.08
WHEAT,XWHT,2,2,60.05,59.8,60.3,60.05,46.43,46.43,49.22,49.22
WHEAT,XWHT,1,1,61.35,61.35,61.35,61.35,45.45,45.45,48.17,48.17
WHEAT,XWHT,3,1,59.62,59.62,59.62,59.62,46.76,46.76,49.57,49.57
